Tabela 4: Ocorrências de violência contra os idosos - Quantit. Ocorrências - últimos 7 anos.;;;
;;;
ANO;Ocorr.;Violência dentro de casa;
2010;55;22;
2011;63;25;
2012;120;58;
2013;201;91;
2014;321;136;
2015;390;176;
2016;364;154;
Fonte: Banco Millenium - COOAFESP/SGI/SSPDF;;;
;;;
;;;
Tabela 5: Ocorrências de violência contra os idosos - Vítimas por sexo - últimos 7 anos.;;;
;Vítimas;;
ANO;Masc;Fem;total
2010;36;34;70
2011;32;49;81
2012;56;89;145
2013;112;134;246
2014;179;211;390
2015;229;268;497
2016;190;261;451
Fonte: Banco Millenium - COOAFESP/SGI/SSPDF;;;
